fase,turma,instituicao_ensino_aluno,sinalizador_ingressante,pedra,inde,iaa,ieg,ips,ida,ipp,rec_equipe_1,rec_equipe_2,rec_equipe_3,rec_equipe_4,ponto_virada,ipv,ian,nivel_ideal,defasagem,sexo,corraca
2.0,G,Rede Decisão,Ingressante,Ametista,7.319,7.5,6.3,6.9,8.8,7.7,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,8.1,5.0,Nível 3 (7o e 8o ano),-1.0,F,R
3.0,F,Escola Pública,Veterano,Ametista,7.021,7.1,6.9,6.3,5.6,7.3,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,7.2,10.0,Nível 3 (7o e 8o ano),0.0,F,B
2.0,L,Escola Pública,Veterano,Ametista,7.399,7.4,7.5,7.5,5.4,8.5,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,7.4,10.0,Nível 2 (5o e 6o ano),0.0,M,R
5.0,L,Rede Decisão,Veterano,Topázio,8.269,8.8,8.6,7.5,7.1,8.0,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não,8.5,10.0,Nível 5 (1o EM),0.0,F,R
1.0,A,Rede Decisão,Veterano,Topázio,8.990,9.0,10.0,6.3,8.8,7.7,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Sim,9.7,10.0,Nível 1 (4o ano),0.0,M,R
0.0,T,Escola Pública,Ingressante,Quartzo,3.413,8.0,0.0,7.5,0.8,0.0,Não avaliado,Não avaliado,Não avaliado,Não avaliado,Não,6.0,5.0,Nível 1 (4o ano),-1.0,F,B
1.0,G,Escola Pública,Veterano,Ágata,6.140,9.5,4.2,7.5,2.6,8.4,Não avaliado,Mantido na Fase atual,Mantido na Fase + Bolsa,Não avaliado,Não,8.8,5.0,Nível 3 (7o e 8o ano),-2.0,M,B
4.0,F,Escola Pública,Veterano,Ágata,5.666,10.0,3.3,6.3,5.3,7.7,Mantido na Fase atual,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase atual,Não,5.2,5.0,Nível 5 (1o EM),-1.0,M,B
2.0,C,Escola Pública,Ingressante,Ágata,6.751,9.0,6.3,7.5,4.6,7.7,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,8.3,5.0,Nível 3 (7o e 8o ano),-1.0,M,R
4.0,G,Rede Decisão,Ingressante,Topázio,9.079,8.3,9.2,7.5,8.8,9.4,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Sim,9.9,10.0,Nível 4 (9o ano),0.0,F,R
3.0,D,Escola Pública,Ingressante,Ágata,6.342,9.6,5.3,7.5,3.8,7.5,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,7.9,5.0,Nível 5 (1o EM),-2.0,F,R
2.0,C,Escola Pública,Veterano,Ágata,6.129,6.9,2.9,7.5,5.5,7.7,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,8.7,5.0,Nível 3 (7o e 8o ano),-1.0,F,R
7.0,A,Escola Pública,Veterano,Topázio,8.416,9.2,9.4,7.5,8.2,8.4,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Sim,9.4,5.0,Nível 8 (Universitários),-1.0,F,B
3.0,C,Escola Pública,Veterano,Ágata,6.246,8.3,6.4,3.8,4.7,7.3,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,7.9,5.0,Nível 5 (1o EM),-2.0,F,R
